"id","bitcoin_price_id","low_rate","high_rate","timestamp"
"166","166","58874.96","63570.16","2024-05-04 15:00:03"
"167","167","58874.96","63570.16","2024-05-04 16:00:02"
"168","168","58874.96","63570.16","2024-05-04 17:00:03"
"169","169","58874.96","63570.16","2024-05-04 18:00:04"
"170","170","58874.96","63570.16","2024-05-04 19:00:02"
"171","171","59012.66","64504.85","2024-05-04 20:00:03"
"172","172","60368.01","64504.85","2024-05-04 21:00:02"
"173","173","61376.66","64504.85","2024-05-04 22:00:05"
"174","174","61376.66","64504.85","2024-05-04 23:00:03"
"175","175","61560.32","64504.85","2024-05-05 00:00:04"
"176","176","61574.88","64504.85","2024-05-05 01:00:03"
"177","177","61619.38","64504.85","2024-05-05 02:00:03"
"178","178","61619.38","64504.85","2024-05-05 03:00:03"
"179","179","61708.43","64504.85","2024-05-05 04:00:04"
"180","180","62422.91","64504.85","2024-05-05 05:00:03"
"181","181","62492.64","64504.85","2024-05-05 06:00:02"
"182","182","62603.21","64504.85","2024-05-05 07:00:03"
"183","183","62603.21","64504.85","2024-05-05 08:00:03"
"184","184","62603.21","64504.85","2024-05-05 09:00:03"
"185","185","62603.21","64504.85","2024-05-05 10:00:02"
"186","186","62656.90","64504.85","2024-05-05 11:00:03"
"187","187","62693.17","64504.85","2024-05-05 12:00:03"
"188","188","62805.08","64504.85","2024-05-05 13:00:03"
"189","189","62925.45","64504.85","2024-05-05 14:00:03"
"190","190","62925.45","64504.85","2024-05-05 15:00:03"
"191","191","62953.95","64504.85","2024-05-05 16:00:03"
"192","192","62953.95","64504.85","2024-05-05 17:00:03"
"193","193","62953.95","64504.85","2024-05-05 18:00:04"
"194","194","62953.95","64504.85","2024-05-05 19:00:03"
"195","195","62953.95","64178.48","2024-05-05 20:00:02"
"196","196","62953.95","64169.58","2024-05-05 21:00:03"
"197","197","62953.95","64258.65","2024-05-05 22:00:03"
"198","198","62953.95","64258.65","2024-05-05 23:00:04"
"199","199","62953.95","64486.05","2024-05-06 00:00:05"
"200","200","62953.95","64591.11","2024-05-06 01:00:05"
"201","201","62953.95","64591.11","2024-05-06 02:00:03"
"202","202","62953.95","64591.11","2024-05-06 03:00:02"
"203","203","62953.95","64591.11","2024-05-06 04:00:03"
"204","204","62953.95","64591.11","2024-05-06 05:00:04"
"205","205","62953.95","64591.11","2024-05-06 06:00:04"
"206","206","62953.95","64591.11","2024-05-06 07:00:03"
"207","207","62953.95","64591.11","2024-05-06 08:00:02"
"208","208","62953.95","64591.11","2024-05-06 09:00:03"
"209","209","62974.42","64591.11","2024-05-06 10:00:03"
"210","210","63181.20","64591.11","2024-05-06 12:00:04"
